<a_128><b_64><c_73>	Salmonella gastroenteritis	ICD9CM:0030
<a_227><b_227><c_113>	Chondrocalcinosis, unspecified, multiple sites	ICD9CM:71239
<a_160><b_113><c_40>	Arthropathy associated with gastrointestinal conditions other than infections	ICD9CM:7131
<a_75><b_64><c_166>	Arthropathy associated with neurological disorders	ICD9CM:7135
<a_160><b_211><c_220>	Arthropathy associated with other conditions classifiable elsewhere	ICD9CM:7138
<a_108><b_23><c_214>	Rheumatoid arthritis	ICD9CM:7140
<a_250><b_104><c_52>	Other rheumatoid arthritis with visceral or systemic involvement	ICD9CM:7142
<a_33><b_188><c_202>	Polyarticular juvenile rheumatoid arthritis, chronic or unspecified	ICD9CM:71430
<a_190><b_84><c_139>	Rheumatoid lung	ICD9CM:71481
<a_160><b_181><c_214>	Other specified inflammatory polyarthropathies	ICD9CM:71489
<a_160><b_245><c_40>	Unspecified inflammatory polyarthropathy	ICD9CM:7149
<a_227><b_76><c_40>	Osteoarthrosis, generalized, multiple sites	ICD9CM:71509
<a_227><b_210><c_186>	Osteoarthrosis, localized, primary, lower leg	ICD9CM:71516
<a_227><b_50><c_48>	Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified	ICD9CM:71530
<a_227><b_178><c_110>	Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region	ICD9CM:71531
<a_227><b_178><c_48>	Osteoarthrosis, localized, not specified whether primary or secondary, hand	ICD9CM:71534
<a_227><b_50><c_131>	Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh	ICD9CM:71535
<a_227><b_110><c_13>	Osteoarthrosis, localized, not specified whether primary or secondary, lower leg	ICD9CM:71536
<a_227><b_50><c_23>	Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, site unspecified	ICD9CM:71580
<a_227><b_50><c_90>	Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, multiple sites	ICD9CM:71589
<a_227><b_50><c_73>	Osteoarthrosis, unspecified whether generalized or localized, site unspecified	ICD9CM:71590
<a_227><b_189><c_40>	Osteoarthrosis, unspecified whether generalized or localized, shoulder region	ICD9CM:71591
<a_227><b_189><c_48>	Osteoarthrosis, unspecified whether generalized or localized, hand	ICD9CM:71594
<a_227><b_178><c_36>	Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh	ICD9CM:71595
<a_227><b_73><c_207>	Osteoarthrosis, unspecified whether generalized or localized, lower leg	ICD9CM:71596
<a_227><b_73><c_48>	Osteoarthrosis, unspecified whether generalized or localized, ankle and foot	ICD9CM:71597
<a_227><b_50><c_29>	Osteoarthrosis, unspecified whether generalized or localized, other specified sites	ICD9CM:71598
<a_170><b_184><c_40>	Traumatic arthropathy, pelvic region and thigh	ICD9CM:71615
<a_208><b_185><c_2>	Traumatic arthropathy, lower leg	ICD9CM:71616
<a_160><b_58><c_14>	Other specified arthropathy, site unspecified	ICD9CM:71680
<a_33><b_189><c_179>	Arthropathy, unspecified, site unspecified	ICD9CM:71690
<a_33><b_189><c_187>	Arthropathy, unspecified, shoulder region	ICD9CM:71691
<a_33><b_210><c_99>	Arthropathy, unspecified, forearm	ICD9CM:71693
<a_33><b_189><c_199>	Arthropathy, unspecified, hand	ICD9CM:71694
<a_33><b_48><c_44>	Arthropathy, unspecified, pelvic region and thigh	ICD9CM:71695
<a_33><b_73><c_215>	Arthropathy, unspecified, lower leg	ICD9CM:71696
<a_33><b_73><c_179>	Arthropathy, unspecified, ankle and foot	ICD9CM:71697
<a_33><b_189><c_40>	Arthropathy, unspecified, multiple sites	ICD9CM:71699
<a_34><b_34><c_179>	Loose body in knee	ICD9CM:7176
<a_77><b_244><c_52>	Old disruption of posterior cruciate ligament	ICD9CM:71784
<a_114><b_189><c_44>	Recurrent dislocation of joint, shoulder region	ICD9CM:71831
<a_170><b_23><c_40>	Recurrent dislocation of joint, pelvic region and thigh	ICD9CM:71835
<a_34><b_240><c_51>	Contracture of joint, upper arm	ICD9CM:71842
<a_34><b_51><c_22>	Contracture of joint, hand	ICD9CM:71844
<a_170><b_187><c_48>	Contracture of joint, pelvic region and thigh	ICD9CM:71845
<a_34><b_156><c_244>	Contracture of joint, ankle and foot	ICD9CM:71847
<a_252><b_80><c_52>	Contracture of joint, multiple sites	ICD9CM:71849
<a_34><b_8><c_52>	Ankylosis of joint, lower leg	ICD9CM:71856
<a_34><b_34><c_23>	Unspecified intrapelvic protrusion of acetabulum, pelvic region and thigh	ICD9CM:71865
<a_33><b_56><c_188>	Other joint derangement, not elsewhere classified, other specified sites	ICD9CM:71888
<a_114><b_227><c_236>	Effusion of joint, shoulder region	ICD9CM:71901
<a_114><b_52><c_52>	Effusion of joint, upper arm	ICD9CM:71902
<a_114><b_210><c_213>	Effusion of joint, forearm	ICD9CM:71903
<a_166><b_240><c_109>	Effusion of joint, pelvic region and thigh	ICD9CM:71905
<a_166><b_54><c_244>	Effusion of joint, lower leg	ICD9CM:71906
<a_34><b_194><c_40>	Effusion of joint, ankle and foot	ICD9CM:71907
<a_114><b_53><c_46>	Hemarthrosis, shoulder region	ICD9CM:71911
<a_114><b_34><c_124>	Hemarthrosis, lower leg	ICD9CM:71916
<a_114><b_254><c_44>	Pain in joint, site unspecified	ICD9CM:71940
<a_114><b_70><c_124>	Pain in joint, shoulder region	ICD9CM:71941
<a_114><b_70><c_142>	Pain in joint, upper arm	ICD9CM:71942
<a_114><b_70><c_40>	Pain in joint, forearm	ICD9CM:71943
<a_34><b_240><c_29>	Pain in joint, pelvic region and thigh	ICD9CM:71945
<a_114><b_227><c_48>	Pain in joint, lower leg	ICD9CM:71946
<a_34><b_40><c_201>	Pain in joint, ankle and foot	ICD9CM:71947
<a_71><b_49><c_19>	Pain in joint, multiple sites	ICD9CM:71949
<a_55><b_22><c_214>	Difficulty in walking	ICD9CM:7197
<a_49><b_9><c_16>	Unspecified disorder of joint, site unspecified	ICD9CM:71990
<a_252><b_141><c_7>	Ankylosing spondylitis	ICD9CM:7200
<a_49><b_154><c_40>	Sacroiliitis, not elsewhere classified	ICD9CM:7202
<a_49><b_164><c_186>	Unspecified inflammatory spondylopathy	ICD9CM:7209
<a_106><b_95><c_233>	Cervical spondylosis without myelopathy	ICD9CM:7210
<a_106><b_100><c_223>	Cervical spondylosis with myelopathy	ICD9CM:7211
<a_192><b_251><c_55>	Thoracic spondylosis without myelopathy	ICD9CM:7212
<a_106><b_188><c_45>	Lumbosacral spondylosis without myelopathy	ICD9CM:7213
<a_106><b_40><c_82>	Spondylosis with myelopathy, lumbar region	ICD9CM:72142
<a_160><b_197><c_201>	Other allied disorders of spine	ICD9CM:7218
<a_106><b_254><c_3>	Spondylosis of unspecified site, without mention of myelopathy	ICD9CM:72190
<a_106><b_50><c_191>	Displacement of cervical intervertebral disc without myelopathy	ICD9CM:7220
<a_106><b_178><c_55>	Displacement of lumbar intervertebral disc without myelopathy	ICD9CM:72210
<a_106><b_178><c_40>	Displacement of thoracic intervertebral disc without myelopathy	ICD9CM:72211
<a_106><b_254><c_19>	Displacement of intervertebral disc, site unspecified, without myelopathy	ICD9CM:7222
<a_192><b_2><c_134>	Schmorl's nodes, unspecified region	ICD9CM:72230
<a_39><b_195><c_40>	Degeneration of cervical intervertebral disc	ICD9CM:7224
<a_106><b_12><c_80>	Degeneration of thoracic or thoracolumbar intervertebral disc	ICD9CM:72251
<a_106><b_178><c_23>	Degeneration of lumbar or lumbosacral intervertebral disc	ICD9CM:72252
<a_106><b_254><c_205>	Degeneration of intervertebral disc, site unspecified	ICD9CM:7226
<a_106><b_121><c_23>	Intervertebral disc disorder with myelopathy, cervical region	ICD9CM:72271
<a_106><b_121><c_29>	Intervertebral disc disorder with myelopathy, thoracic region	ICD9CM:72272
<a_106><b_40><c_29>	Intervertebral disc disorder with myelopathy, lumbar region	ICD9CM:72273
<a_95><b_25><c_217>	Postlaminectomy syndrome, lumbar region	ICD9CM:72283
<a_192><b_227><c_100>	Other and unspecified disc disorder, unspecified region	ICD9CM:72290
<a_192><b_121><c_116>	Other and unspecified disc disorder, cervical region	ICD9CM:72291
<a_192><b_210><c_99>	Other and unspecified disc disorder, thoracic region	ICD9CM:72292
<a_192><b_210><c_52>	Other and unspecified disc disorder, lumbar region	ICD9CM:72293
<a_106><b_164><c_40>	Spinal stenosis in cervical region	ICD9CM:7230
<a_39><b_195><c_0>	Cervicalgia	ICD9CM:7231
<a_51><b_139><c_85>	Brachial neuritis or radiculitis NOS	ICD9CM:7234
<a_136><b_100><c_6>	Torticollis, unspecified	ICD9CM:7235
<a_122><b_6><c_223>	Other syndromes affecting cervical region	ICD9CM:7238
<a_192><b_48><c_124>	Spinal stenosis, unspecified region	ICD9CM:72400
<a_106><b_210><c_44>	Spinal stenosis, thoracic region	ICD9CM:72401
<a_106><b_254><c_59>	Spinal stenosis, lumbar region, without neurogenic claudication	ICD9CM:72402
<a_106><b_254><c_111>	Spinal stenosis, lumbar region, with neurogenic claudication	ICD9CM:72403
<a_192><b_209><c_182>	Spinal stenosis, other region	ICD9CM:72409
<a_39><b_94><c_239>	Lumbago	ICD9CM:7242
<a_39><b_127><c_66>	Sciatica	ICD9CM:7243
<a_51><b_115><c_125>	Thoracic or lumbosacral neuritis or radiculitis, unspecified	ICD9CM:7244
<a_49><b_95><c_16>	Backache, unspecified	ICD9CM:7245
<a_237><b_102><c_23>	Other symptoms referable to back	ICD9CM:7248
<a_250><b_235><c_109>	Other unspecified back disorders	ICD9CM:7249
<a_108><b_80><c_179>	Polymyalgia rheumatica	ICD9CM:725
<a_252><b_25><c_109>	Adhesive capsulitis of shoulder	ICD9CM:7260
<a_49><b_204><c_44>	Disorders of bursae and tendons in shoulder region, unspecified	ICD9CM:72610
<a_252><b_71><c_40>	Calcifying tendinitis of shoulder	ICD9CM:72611
<a_252><b_110><c_77>	Bicipital tenosynovitis	ICD9CM:72612
<a_160><b_110><c_13>	Other specified disorders of bursae and tendons in shoulder region	ICD9CM:72619
<a_49><b_125><c_97>	Other affections of shoulder region, not elsewhere classified	ICD9CM:7262
<a_34><b_213><c_29>	Olecranon bursitis	ICD9CM:72633
<a_252><b_80><c_40>	Enthesopathy of hip region	ICD9CM:7265
<a_33><b_50><c_213>	Enthesopathy of knee, unspecified	ICD9CM:72660
<a_34><b_213><c_82>	Prepatellar bursitis	ICD9CM:72665
<a_160><b_20><c_13>	Other enthesopathy of knee	ICD9CM:72669
<a_114><b_89><c_129>	Achilles bursitis or tendinitis	ICD9CM:72671
<a_34><b_135><c_236>	Calcaneal spur	ICD9CM:72673
<a_255><b_253><c_211>	Exostosis of unspecified site	ICD9CM:72691
<a_33><b_70><c_12>	Synovitis and tenosynovitis, unspecified	ICD9CM:72700
<a_160><b_204><c_40>	Other tenosynovitis of hand and wrist	ICD9CM:72705
<a_34><b_44><c_40>	Tenosynovitis of foot and ankle	ICD9CM:72706
<a_160><b_58><c_40>	Other synovitis and tenosynovitis	ICD9CM:72709
<a_34><b_80><c_193>	Bunion	ICD9CM:7271
<a_192><b_41><c_67>	Synovial cyst, unspecified	ICD9CM:72740
<a_166><b_166><c_113>	Ganglion of joint	ICD9CM:72741
<a_49><b_206><c_52>	Ganglion, unspecified	ICD9CM:72743
<a_166><b_23><c_233>	Synovial cyst of popliteal space	ICD9CM:72751
<a_117><b_193><c_186>	Complete rupture of rotator cuff	ICD9CM:72761
<a_34><b_135><c_95>	Contracture of tendon (sheath)	ICD9CM:72781
<a_160><b_135><c_179>	Other disorders of synovium, tendon, and bursa	ICD9CM:72789
<a_152><b_114><c_139>	Infective myositis	ICD9CM:7280
<a_193><b_141><c_236>	Postoperative heterotopic calcification	ICD9CM:72813
<a_192><b_51><c_23>	Muscular wasting and disuse atrophy, not elsewhere classified	ICD9CM:7282
<a_34><b_110><c_149>	Contracture of palmar fascia	ICD9CM:7286
<a_34><b_122><c_14>	Plantar fascial fibromatosis	ICD9CM:72871
<a_140><b_135><c_0>	Diastasis of muscle	ICD9CM:72884
<a_55><b_176><c_123>	Spasm of muscle	ICD9CM:72885
<a_152><b_198><c_105>	Necrotizing fasciitis	ICD9CM:72886
<a_177><b_44><c_139>	Muscle weakness (generalized)	ICD9CM:72887
<a_38><b_21><c_229>	Rhabdomyolysis	ICD9CM:72888
<a_160><b_80><c_179>	Other disorders of muscle, ligament, and fascia	ICD9CM:72889
<a_160><b_194><c_13>	Unspecified disorder of muscle, ligament, and fascia	ICD9CM:7289
<a_49><b_95><c_91>	Myalgia and myositis, unspecified	ICD9CM:7291
<a_51><b_210><c_41>	Neuralgia, neuritis, and radiculitis, unspecified	ICD9CM:7292
<a_97><b_178><c_4>	Panniculitis, unspecified site	ICD9CM:72930
<a_189><b_42><c_119>	Panniculitis, other site	ICD9CM:72939
<a_97><b_48><c_40>	Fasciitis, unspecified	ICD9CM:7294
<a_170><b_200><c_40>	Pain in limb	ICD9CM:7295
<a_178><b_135><c_44>	Residual foreign body in soft tissue	ICD9CM:7296
<a_95><b_244><c_40>	Nontraumatic compartment syndrome of lower extremity	ICD9CM:72972
<a_99><b_239><c_100>	Nontraumatic compartment syndrome of abdomen	ICD9CM:72973
<a_166><b_191><c_139>	Swelling of limb	ICD9CM:72981
<a_170><b_75><c_99>	Cramp of limb	ICD9CM:72982
<a_160><b_156><c_116>	Other musculoskeletal symptoms referable to limbs	ICD9CM:72989
<a_160><b_224><c_89>	Other and unspecified disorders of soft tissue	ICD9CM:7299
<a_155><b_89><c_45>	Nontraumatic hematoma of soft tissue	ICD9CM:72992
<a_239><b_189><c_133>	Acute osteomyelitis, shoulder region	ICD9CM:73001
<a_239><b_194><c_200>	Acute osteomyelitis, upper arm	ICD9CM:73002
<a_239><b_194><c_139>	Acute osteomyelitis, hand	ICD9CM:73004
<a_239><b_210><c_45>	Acute osteomyelitis, pelvic region and thigh	ICD9CM:73005
<a_239><b_254><c_16>	Acute osteomyelitis, lower leg	ICD9CM:73006
<a_239><b_254><c_125>	Acute osteomyelitis, ankle and foot	ICD9CM:73007
<a_180><b_89><c_63>	Acute osteomyelitis, other specified sites	ICD9CM:73008
<a_239><b_227><c_155>	Acute osteomyelitis, multiple sites	ICD9CM:73009
<a_180><b_200><c_65>	Chronic osteomyelitis, upper arm	ICD9CM:73012
<a_180><b_204><c_35>	Chronic osteomyelitis, forearm	ICD9CM:73013
<a_182><b_191><c_45>	Chronic osteomyelitis, pelvic region and thigh	ICD9CM:73015
<a_180><b_152><c_52>	Chronic osteomyelitis, lower leg	ICD9CM:73016
<a_180><b_200><c_175>	Chronic osteomyelitis, ankle and foot	ICD9CM:73017
<a_180><b_76><c_139>	Chronic osteomyelitis, other specified sites	ICD9CM:73018
<a_180><b_237><c_91>	Unspecified osteomyelitis, site unspecified	ICD9CM:73020
<a_180><b_178><c_243>	Unspecified osteomyelitis, upper arm	ICD9CM:73022
<a_180><b_178><c_48>	Unspecified osteomyelitis, forearm	ICD9CM:73023
<a_180><b_178><c_23>	Unspecified osteomyelitis, hand	ICD9CM:73024
<a_180><b_189><c_44>	Unspecified osteomyelitis, pelvic region and thigh	ICD9CM:73025
<a_180><b_254><c_183>	Unspecified osteomyelitis, lower leg	ICD9CM:73026
<a_180><b_178><c_199>	Unspecified osteomyelitis, ankle and foot	ICD9CM:73027
<a_180><b_206><c_23>	Unspecified osteomyelitis, other specified sites	ICD9CM:73028
<a_180><b_206><c_60>	Unspecified osteomyelitis, multiple sites	ICD9CM:73029
<a_180><b_25><c_65>	Unspecified infection of bone, ankle and foot	ICD9CM:73097
<a_49><b_178><c_97>	Osteitis deformans without mention of bone tumor	ICD9CM:7310
<a_39><b_205><c_220>	Major osseous defects	ICD9CM:7313
<a_250><b_32><c_193>	Other bone involvement in diseases classified elsewhere	ICD9CM:7318
<a_227><b_223><c_59>	Juvenile osteochondrosis of lower extremity, excluding foot	ICD9CM:7324
<a_71><b_0><c_40>	Juvenile osteochondrosis of foot	ICD9CM:7325
<a_33><b_206><c_124>	Osteoporosis, unspecified	ICD9CM:73300
<a_39><b_145><c_7>	Senile osteoporosis	ICD9CM:73301
<a_250><b_140><c_98>	Other osteoporosis	ICD9CM:73309
<a_221><b_210><c_245>	Pathologic fracture of humerus	ICD9CM:73311
<a_104><b_249><c_205>	Pathologic fracture of distal radius and ulna	ICD9CM:73312
<a_117><b_66><c_218>	Pathologic fracture of vertebrae	ICD9CM:73313
<a_221><b_73><c_23>	Pathologic fracture of neck of femur	ICD9CM:73314
<a_221><b_216><c_45>	Pathologic fracture of other specified part of femur	ICD9CM:73315
<a_221><b_249><c_56>	Pathologic fracture of tibia or fibula	ICD9CM:73316
<a_221><b_13><c_200>	Pathologic fracture of other specified site	ICD9CM:73319
<a_49><b_254><c_12>	Cyst of bone (localized), unspecified	ICD9CM:73320
<a_39><b_181><c_224>	Hyperostosis of skull	ICD9CM:7333
<a_170><b_141><c_209>	Aseptic necrosis of head of humerus	ICD9CM:73341
<a_170><b_211><c_14>	Aseptic necrosis of head and neck of femur	ICD9CM:73342
<a_160><b_25><c_109>	Aseptic necrosis of bone, other	ICD9CM:73349
<a_252><b_83><c_40>	Osteitis condensans	ICD9CM:7335
<a_252><b_101><c_239>	Tietze's disease	ICD9CM:7336
<a_221><b_89><c_28>	Nonunion of fracture	ICD9CM:73382
<a_33><b_206><c_165>	Disorder of bone and cartilage, unspecified	ICD9CM:73390
<a_221><b_130><c_131>	Stress fracture of femoral neck	ICD9CM:73396
<a_160><b_83><c_179>	Other disorders of bone and cartilage	ICD9CM:73399
<a_71><b_55><c_174>	Hallux valgus (acquired)	ICD9CM:7350
<a_71><b_53><c_193>	Other hammer toe (acquired)	ICD9CM:7354
<a_104><b_89><c_47>	Unspecified deformity of forearm, excluding fingers	ICD9CM:73600
<a_117><b_34><c_202>	Unspecified deformity of finger	ICD9CM:73620
<a_71><b_110><c_116>	Other acquired deformities of knee	ICD9CM:7366
<a_208><b_34><c_205>	Unspecified deformity of ankle and foot, acquired	ICD9CM:73670
<a_170><b_64><c_133>	Acquired equinovarus deformity	ICD9CM:73671
<a_34><b_21><c_223>	Equinus deformity of foot, acquired	ICD9CM:73672
<a_71><b_53><c_225>	Other acquired deformities of ankle and foot	ICD9CM:73679
<a_71><b_53><c_57>	Other acquired deformity of other parts of limb	ICD9CM:73689
<a_39><b_135><c_14>	Kyphosis (acquired) (postural)	ICD9CM:73710
<a_106><b_178><c_157>	Kyphosis, postlaminectomy	ICD9CM:73712
<a_71><b_195><c_52>	Other kyphosis (acquired)	ICD9CM:73719
<a_192><b_118><c_55>	Scoliosis [and kyphoscoliosis], idiopathic	ICD9CM:73730
<a_39><b_214><c_14>	Progressive infantile idiopathic scoliosis	ICD9CM:73732
<a_95><b_53><c_40>	Thoracogenic scoliosis	ICD9CM:73734
<a_71><b_83><c_160>	Other kyphoscoliosis and scoliosis	ICD9CM:73739
<a_71><b_141><c_237>	Kyphosis associated with other conditions	ICD9CM:73741
<a_71><b_141><c_153>	Scoliosis associated with other conditions	ICD9CM:73743
<a_195><b_42><c_239>	Unspecified acquired deformity of head	ICD9CM:73810
<a_195><b_115><c_239>	Other specified acquired deformity of head	ICD9CM:73819
<a_39><b_41><c_13>	Acquired deformity of chest and rib	ICD9CM:7383
<a_106><b_178><c_8>	Acquired spondylolisthesis	ICD9CM:7384
<a_71><b_40><c_14>	Other acquired deformity of back or spine	ICD9CM:7385
<a_170><b_23><c_175>	Acquired deformity of pelvis	ICD9CM:7386
<a_71><b_87><c_244>	Acquired deformity of other specified site	ICD9CM:7388
<a_106><b_93><c_87>	Spina bifida with hydrocephalus, unspecified region	ICD9CM:74100
<a_192><b_57><c_184>	Spina bifida without mention of hydrocephalus, unspecified region	ICD9CM:74190
<a_106><b_237><c_40>	Spina bifida without mention of hydrocephalus, lumbar region	ICD9CM:74193
<a_222><b_47><c_117>	Congenital hydrocephalus	ICD9CM:7423
<a_223><b_84><c_119>	Other specified congenital anomalies of brain	ICD9CM:7424
<a_223><b_74><c_57>	Unspecified congenital anomaly of brain, spinal cord, and nervous system	ICD9CM:7429
<a_237><b_179><c_89>	Other specified congenital anomalies of eyelid	ICD9CM:74363
<a_215><b_168><c_74>	Specified congenital anomalies of lacrimal passages	ICD9CM:74365
<a_76><b_244><c_48>	Branchial cleft sinus or fistula	ICD9CM:74441
<a_14><b_91><c_105>	Complete transposition of great vessels	ICD9CM:74510
<a_6><b_127><c_140>	Ventricular septal defect	ICD9CM:7454
<a_6><b_218><c_44>	Ostium secundum type atrial septal defect	ICD9CM:7455
<a_6><b_184><c_133>	Ostium primum defect	ICD9CM:74561
<a_6><b_110><c_70>	Atresia of pulmonary valve, congenital	ICD9CM:74601
<a_6><b_187><c_40>	Stenosis of pulmonary valve, congenital	ICD9CM:74602
<a_6><b_37><c_21>	Other congenital anomalies of pulmonary valve	ICD9CM:74609
<a_6><b_94><c_40>	Tricuspid atresia and stenosis, congenital	ICD9CM:7461
<a_6><b_127><c_223>	Ebstein's anomaly	ICD9CM:7462
<a_6><b_135><c_9>	Congenital stenosis of aortic valve	ICD9CM:7463
<a_6><b_75><c_223>	Congenital insufficiency of aortic valve	ICD9CM:7464
<a_6><b_184><c_40>	Subaortic stenosis	ICD9CM:74681
<a_164><b_194><c_221>	Coronary artery anomaly	ICD9CM:74685
<a_6><b_21><c_139>	Malposition of heart and cardiac apex	ICD9CM:74687
<a_6><b_29><c_160>	Other specified congenital anomalies of heart	ICD9CM:74689
<a_6><b_76><c_251>	Unspecified congenital anomaly of heart	ICD9CM:7469
<a_6><b_71><c_40>	Patent ductus arteriosus	ICD9CM:7470
<a_6><b_110><c_217>	Coarctation of aorta (preductal) (postductal)	ICD9CM:74710
<a_6><b_53><c_161>	Anomalies of aortic arch	ICD9CM:74721
<a_6><b_53><c_251>	Other anomalies of aorta	ICD9CM:74729
<a_6><b_79><c_13>	Anomalies of pulmonary artery, congenital	ICD9CM:7473
<a_90><b_114><c_105>	Pulmonary arteriovenous malformation	ICD9CM:74732
<a_6><b_84><c_199>	Partial anomalous pulmonary venous connection	ICD9CM:74742
<a_90><b_150><c_0>	Other anomalies of great veins	ICD9CM:74749
<a_143><b_243><c_209>	Gastrointestinal vessel anomaly	ICD9CM:74761
<a_93><b_239><c_168>	Renal vessel anomaly	ICD9CM:74762
<a_93><b_51><c_61>	Upper limb vessel anomaly	ICD9CM:74763
<a_222><b_173><c_148>	Anomalies of cerebrovascular system	ICD9CM:74781
<a_96><b_80><c_200>	Persistent fetal circulation	ICD9CM:74783
<a_32><b_49><c_52>	Choanal atresia	ICD9CM:7480
<a_95><b_231><c_77>	Web of larynx	ICD9CM:7482
<a_189><b_135><c_40>	Other anomalies of larynx, trachea, and bronchus	ICD9CM:7483
<a_0><b_75><c_41>	Anomaly of lung, unspecified	ICD9CM:74860
<a_211><b_134><c_201>	Congenital bronchiectasis	ICD9CM:74861
<a_136><b_188><c_47>	Cleft palate, unspecified	ICD9CM:74900
<a_237><b_102><c_82>	Other congenital anomalies of tongue	ICD9CM:75019
<a_212><b_137><c_45>	Tracheoesophageal fistula, esophageal atresia and stenosis	ICD9CM:7503
<a_212><b_64><c_49>	Other specified anomalies of esophagus	ICD9CM:7504
<a_212><b_25><c_40>	Atresia and stenosis of small intestine	ICD9CM:7511
<a_212><b_25><c_13>	Atresia and stenosis of large intestine, rectum, and anal canal	ICD9CM:7512
<a_212><b_76><c_48>	Hirschsprung's disease and other congenital functional disorders of colon	ICD9CM:7513
<a_212><b_194><c_95>	Anomalies of intestinal fixation	ICD9CM:7514
<a_212><b_28><c_48>	Other anomalies of intestine	ICD9CM:7515
<a_115><b_193><c_214>	Congenital cystic disease of liver	ICD9CM:75162
<a_146><b_236><c_40>	Other anomalies of gallbladder, bile ducts, and liver	ICD9CM:75169
<a_115><b_109><c_214>	Anomalies of pancreas	ICD9CM:7517
<a_19><b_196><c_129>	Undescended testis	ICD9CM:75251
<a_215><b_152><c_103>	Hypospadias	ICD9CM:75261
<a_215><b_53><c_160>	Renal agenesis and dysgenesis	ICD9CM:7530
<a_89><b_113><c_91>	Cystic kidney disease, unspecified	ICD9CM:75310
<a_19><b_166><c_34>	Congenital single renal cyst	ICD9CM:75311
<a_89><b_190><c_217>	Polycystic kidney, unspecified type	ICD9CM:75312
<a_211><b_110><c_184>	Polycystic kidney, autosomal dominant	ICD9CM:75313
<a_19><b_64><c_1>	Medullary sponge kidney	ICD9CM:75317
<a_25><b_59><c_89>	Other specified cystic kidney disease	ICD9CM:75319
<a_19><b_78><c_185>	Congenital obstruction of ureterovesical junction	ICD9CM:75322
<a_19><b_32><c_152>	Other obstructive defects of renal pelvis and ureter	ICD9CM:75329
<a_19><b_38><c_61>	Other specified anomalies of kidney	ICD9CM:7533
<a_111><b_196><c_74>	Other specified anomalies of bladder and urethra	ICD9CM:7538
<a_39><b_28><c_48>	Congenital musculoskeletal deformities of spine	ICD9CM:7542
<a_39><b_110><c_48>	Congenital pes planus	ICD9CM:75461
<a_211><b_59><c_127>	Pectus excavatum	ICD9CM:75481
<a_71><b_37><c_100>	Other anomalies of upper limb, including shoulder girdle	ICD9CM:75559
<a_71><b_80><c_214>	Other congenital deformity of hip (joint)	ICD9CM:75563
<a_71><b_31><c_80>	Congenital deformity of knee (joint)	ICD9CM:75564
<a_71><b_215><c_223>	Anomalies of foot, not elsewhere classified	ICD9CM:75567
<a_237><b_176><c_117>	Anomalies of skull and face bones	ICD9CM:7560
<a_192><b_58><c_121>	Anomaly of spine, unspecified	ICD9CM:75610
<a_106><b_94><c_40>	Spondylolisthesis	ICD9CM:75612
<a_39><b_181><c_40>	Klippel-Feil syndrome	ICD9CM:75616
<a_39><b_180><c_14>	Spina bifida occulta	ICD9CM:75617
<a_71><b_83><c_111>	Other anomalies of spine	ICD9CM:75619
<a_39><b_122><c_160>	Chondrodystrophy	ICD9CM:7564
<a_181><b_29><c_138>	Osteogenesis imperfecta	ICD9CM:75651
<a_215><b_85><c_164>	Prune belly syndrome	ICD9CM:75671
<a_108><b_54><c_40>	Ehlers-Danlos syndrome	ICD9CM:75683
<a_160><b_80><c_133>	Other specified anomalies of muscle, tendon, fascia, and connective tissue	ICD9CM:75689
<a_211><b_110><c_35>	Hereditary edema of legs	ICD9CM:7570
<a_181><b_156><c_244>	Congenital pigmentary anomalies of skin	ICD9CM:75733
<a_189><b_201><c_160>	Other specified anomalies of skin	ICD9CM:75739
<a_46><b_4><c_214>	Down's syndrome	ICD9CM:7580
<a_177><b_114><c_214>	Patau's syndrome	ICD9CM:7581
<a_56><b_186><c_124>	Other conditions due to autosomal anomalies	ICD9CM:7585
<a_135><b_37><c_21>	Gonadal dysgenesis	ICD9CM:7586
<a_135><b_218><c_40>	Klinefelter's syndrome	ICD9CM:7587
<a_250><b_254><c_23>	Conditions due to anomaly of unspecified chromosome	ICD9CM:7589
<a_115><b_19><c_214>	Anomalies of spleen	ICD9CM:7590
<a_211><b_59><c_101>	Situs inversus	ICD9CM:7593
<a_75><b_59><c_52>	Tuberous sclerosis	ICD9CM:7595
<a_189><b_51><c_201>	Other hamartoses, not elsewhere classified	ICD9CM:7596
<a_177><b_114><c_40>	Prader-Willi syndrome	ICD9CM:75981
<a_211><b_115><c_129>	Marfan syndrome	ICD9CM:75982
<a_250><b_38><c_114>	Other specified congenital anomalies	ICD9CM:75989
<a_68><b_79><c_78>	Congenital anomaly, unspecified	ICD9CM:7599
<a_167><b_205><c_40>	Other noxious influences affecting fetus or newborn via placenta or breast milk	ICD9CM:76079
<a_235><b_107><c_99>	"Light-for-dates" without mention of fetal malnutrition, 500-749 grams	ICD9CM:76402
<a_235><b_162><c_230>	"Light-for-dates" without mention of fetal malnutrition, 1,000- 1,249 grams	ICD9CM:76404
<a_235><b_162><c_23>	"Light-for-dates" without mention of fetal malnutrition, 1,750- 1,999 grams	ICD9CM:76407
