<a_2><b_222><c_42>	Salmonella gastroenteritis	ICD9CM:0030
<a_116><b_133><c_131>	Prostatitis, unspecified	ICD9CM:6019
<a_123><b_167><c_202>	Other specified disorders of prostate	ICD9CM:6028
<a_116><b_171><c_151>	Infected hydrocele	ICD9CM:6031
<a_116><b_33><c_33>	Other specified types of hydrocele	ICD9CM:6038
<a_116><b_171><c_220>	Hydrocele, unspecified	ICD9CM:6039
<a_116><b_241><c_116>	Orchitis, epididymitis, and epididymo-orchitis, with abscess	ICD9CM:6040
<a_116><b_13><c_173>	Orchitis and epididymitis, unspecified	ICD9CM:60490
<a_116><b_238><c_54>	Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess	ICD9CM:60499
<a_123><b_152><c_104>	Redundant prepuce and phimosis	ICD9CM:605
<a_116><b_172><c_67>	Balanoposthitis	ICD9CM:6071
<a_116><b_172><c_246>	Other inflammatory disorders of penis	ICD9CM:6072
<a_123><b_80><c_164>	Vascular disorders of penis	ICD9CM:60782
<a_116><b_119><c_110>	Edema of penis	ICD9CM:60783
<a_123><b_85><c_95>	Impotence of organic origin	ICD9CM:60784
<a_116><b_2><c_5>	Other specified disorders of penis	ICD9CM:60789
<a_116><b_2><c_109>	Unspecified disorder of penis	ICD9CM:6079
<a_116><b_205><c_67>	Seminal vesiculitis	ICD9CM:6080
<a_116><b_15><c_101>	Torsion of testis, unspecified	ICD9CM:60820
<a_116><b_73><c_123>	Other inflammatory disorders of male genital organs	ICD9CM:6084
<a_123><b_28><c_222>	Vascular disorders of male genital organs	ICD9CM:60883
<a_116><b_30><c_98>	Edema of male genital organs	ICD9CM:60886
<a_116><b_119><c_53>	Other specified disorders of male genital organs	ICD9CM:60889
<a_116><b_119><c_39>	Unspecified disorder of male genital organs	ICD9CM:6089
<a_130><b_198><c_208>	Inflammatory disease of breast	ICD9CM:6110
<a_130><b_55><c_202>	Hypertrophy of breast	ICD9CM:6111
<a_130><b_55><c_225>	Lump or mass in breast	ICD9CM:61172
<a_130><b_55><c_86>	Other signs and symptoms in breast	ICD9CM:61179
<a_130><b_55><c_151>	Other specified disorders of breast	ICD9CM:6118
<a_196><b_160><c_157>	Acute parametritis and pelvic cellulitis	ICD9CM:6143
<a_196><b_28><c_106>	Chronic or unspecified parametritis and pelvic cellulitis	ICD9CM:6144
<a_196><b_28><c_133>	Acute or unspecified pelvic peritonitis, female	ICD9CM:6145
<a_196><b_28><c_243>	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	ICD9CM:6146
<a_196><b_61><c_28>	Unspecified inflammatory disease of female pelvic organs and tissues	ICD9CM:6149
<a_196><b_209><c_96>	Acute inflammatory diseases of uterus, except cervix	ICD9CM:6150
<a_196><b_133><c_110>	Vaginitis and vulvovaginitis, unspecified	ICD9CM:61610
<a_196><b_136><c_116>	Cyst of Bartholin's gland	ICD9CM:6162
<a_196><b_139><c_220>	Other abscess of vulva	ICD9CM:6164
<a_196><b_133><c_61>	Ulceration of vulva, unspecified	ICD9CM:61650
<a_196><b_164><c_227>	Other specified inflammatory diseases of cervix, vagina, and vulva	ICD9CM:6168
<a_196><b_164><c_220>	Other inflammatory disease of cervix, vagina and vulva	ICD9CM:61689
<a_144><b_186><c_131>	Endometriosis of uterus	ICD9CM:6170
<a_144><b_186><c_36>	Endometriosis of ovary	ICD9CM:6171
<a_144><b_186><c_189>	Endometriosis, site unspecified	ICD9CM:6179
<a_172><b_112><c_1>	Prolapse of vaginal walls without mention of uterine prolapse	ICD9CM:6180
<a_172><b_112><c_16>	Unspecified prolapse of vaginal walls	ICD9CM:61800
<a_172><b_192><c_67>	Cystocele, midline	ICD9CM:61801
<a_172><b_119><c_126>	Uterine prolapse without mention of vaginal wall prolapse	ICD9CM:6181
<a_172><b_2><c_225>	Prolapse of vaginal vault after hysterectomy	ICD9CM:6185
<a_172><b_50><c_203>	Other specified genital prolapse	ICD9CM:6188
<a_172><b_206><c_123>	Incompetence or weakening of rectovaginal tissue	ICD9CM:61882
<a_172><b_133><c_156>	Urinary-genital tract fistula, female	ICD9CM:6190
<a_172><b_133><c_166>	Digestive-genital tract fistula, female	ICD9CM:6191
<a_172><b_237><c_166>	Genital tract-skin fistula, female	ICD9CM:6192
<a_130><b_77><c_185>	Follicular cyst of ovary	ICD9CM:6200
<a_130><b_153><c_112>	Corpus luteum cyst or hematoma	ICD9CM:6201
<a_196><b_88><c_203>	Other and unspecified ovarian cyst	ICD9CM:6202
<a_196><b_88><c_225>	Torsion of ovary, ovarian pedicle, or fallopian tube	ICD9CM:6205
<a_196><b_88><c_253>	Other noninflammatory disorders of ovary, fallopian tube, and broad ligament	ICD9CM:6208
<a_196><b_188><c_203>	Unspecified noninflammatory disorder of ovary, fallopian tube, and broad ligament	ICD9CM:6209
<a_144><b_5><c_131>	Polyp of corpus uteri	ICD9CM:6210
<a_144><b_139><c_109>	Dysplasia of cervix, unspecified	ICD9CM:62210
<a_144><b_99><c_55>	Mild dysplasia of cervix	ICD9CM:62211
<a_172><b_20><c_133>	Leukorrhea, not specified as infective	ICD9CM:6235
<a_196><b_129><c_203>	Other specified noninflammatory disorders of vagina	ICD9CM:6238
<a_196><b_129><c_206>	Other specified noninflammatory disorders of vulva and perineum	ICD9CM:6248
<a_172><b_176><c_43>	Stress incontinence, female	ICD9CM:6256
<a_196><b_197><c_175>	Other specified symptoms associated with female genital organs	ICD9CM:6258
<a_196><b_197><c_160>	Unspecified symptom associated with female genital organs	ICD9CM:6259
<a_130><b_127><c_185>	Absence of menstruation	ICD9CM:6260
<a_130><b_127><c_1>	Scanty or infrequent menstruation	ICD9CM:6261
<a_130><b_133><c_6>	Excessive or frequent menstruation	ICD9CM:6262
<a_130><b_133><c_206>	Metrorrhagia	ICD9CM:6266
<a_130><b_164><c_67>	Other disorders of menstruation and other abnormal bleeding from female genital tract	ICD9CM:6268
<a_130><b_237><c_28>	Unspecified disorders of menstruation and other abnormal bleeding from female genital tract	ICD9CM:6269
<a_130><b_133><c_227>	Postmenopausal bleeding	ICD9CM:6271
<a_130><b_133><c_70>	Symptomatic menopausal or female climacteric states	ICD9CM:6272
<a_172><b_152><c_232>	Postmenopausal atrophic vaginitis	ICD9CM:6273
<a_130><b_53><c_202>	Other specified menopausal and postmenopausal disorders	ICD9CM:6278
<a_130><b_237><c_192>	Unspecified menopausal and postmenopausal disorder	ICD9CM:6279
<a_144><b_80><c_210>	Recurrent pregnancy loss without current pregnancy	ICD9CM:62981
<a_196><b_183><c_78>	Other specified disorders of female genital organs	ICD9CM:62989
<a_1><b_237><c_147>	Missed abortion	ICD9CM:632
<a_60><b_12><c_163>	Antepartum hemorrhage associated with coagulation defects, delivered, with or without mention of antepartum condition	ICD9CM:64131
<a_237><b_196><c_95>	Early onset of delivery, delivered, with or without mention of antepartum condition	ICD9CM:64421
<a_87><b_80><c_151>	Unspecified renal disease in pregnancy, without mention of hypertension, antepartum condition or complication	ICD9CM:64623
<a_65><b_163><c_28>	Other specified infectious and parasitic diseases of mother, delivered, with or without mention of antepartum condition	ICD9CM:64781
<a_33><b_56><c_77>	Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition	ICD9CM:64811
<a_34><b_210><c_86>	Anemia of mother, delivered, with or without mention of antepartum condition	ICD9CM:64821
<a_34><b_210><c_1>	Anemia of mother, antepartum condition or complication	ICD9CM:64823
<a_224><b_228><c_151>	Other cardiovascular diseases of mother, antepartum condition or complication	ICD9CM:64863
<a_237><b_23><c_91>	Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition	ICD9CM:64891
<a_237><b_23><c_111>	Other current conditions classifiable elsewhere of mother, antepartum condition or complication	ICD9CM:64893
<a_237><b_109><c_124>	Intrauterine death, affecting management of mother, delivered, with or without mention of antepartum condition	ICD9CM:65641
<a_152><b_23><c_184>	First-degree perineal laceration, delivered, with or without mention of antepartum condition	ICD9CM:66401
<a_152><b_247><c_124>	Laceration of cervix, delivered, with or without mention of antepartum condition	ICD9CM:66531
<a_60><b_12><c_184>	Postpartum coagulation defects, postpartum condition or complication	ICD9CM:66634
<a_68><b_42><c_22>	Acute kidney failure following labor and delivery, delivered, with mention of postpartum complication	ICD9CM:66932
<a_2><b_182><c_40>	Puerperal endometritis, delivered, with mention of postpartum complication	ICD9CM:67012
<a_235><b_176><c_223>	Peripartum cardiomyopathy, postpartum condition or complication	ICD9CM:67454
<a_168><b_164><c_203>	Carbuncle and furuncle of trunk	ICD9CM:6802
<a_168><b_181><c_22>	Carbuncle and furuncle of leg, except foot	ICD9CM:6806
<a_168><b_163><c_141>	Cellulitis and abscess of finger, unspecified	ICD9CM:68100
<a_168><b_132><c_3>	Onychia and paronychia of finger	ICD9CM:68102
<a_168><b_163><c_148>	Cellulitis and abscess of toe, unspecified	ICD9CM:68110
<a_168><b_132><c_16>	Onychia and paronychia of toe	ICD9CM:68111
<a_168><b_73><c_113>	Cellulitis and abscess of face	ICD9CM:6820
<a_168><b_172><c_133>	Cellulitis and abscess of neck	ICD9CM:6821
<a_168><b_73><c_70>	Cellulitis and abscess of trunk	ICD9CM:6822
<a_215><b_94><c_156>	Cellulitis and abscess of upper arm and forearm	ICD9CM:6823
<a_168><b_50><c_173>	Cellulitis and abscess of hand, except fingers and thumb	ICD9CM:6824
<a_168><b_95><c_164>	Cellulitis and abscess of buttock	ICD9CM:6825
<a_168><b_50><c_189>	Cellulitis and abscess of leg, except foot	ICD9CM:6826
<a_168><b_163><c_207>	Cellulitis and abscess of foot, except toes	ICD9CM:6827
<a_168><b_192><c_140>	Cellulitis and abscess of other specified sites	ICD9CM:6828
<a_168><b_9><c_13>	Cellulitis and abscess of unspecified sites	ICD9CM:6829
<a_168><b_72><c_53>	Acute lymphadenitis	ICD9CM:683
<a_168><b_92><c_104>	Impetigo	ICD9CM:684
<a_168><b_139><c_22>	Pilonidal cyst without mention of abscess	ICD9CM:6851
<a_168><b_92><c_252>	Pyoderma gangrenosum	ICD9CM:68601
<a_168><b_204><c_102>	Other pyoderma	ICD9CM:68609
<a_168><b_53><c_152>	Pyogenic granuloma of skin and subcutaneous tissue	ICD9CM:6861
<a_168><b_171><c_19>	Unspecified local infection of skin and subcutaneous tissue	ICD9CM:6869
<a_211><b_221><c_36>	Seborrheic dermatitis, unspecified	ICD9CM:69010
<a_211><b_92><c_89>	Diaper or napkin rash	ICD9CM:6910
<a_211><b_13><c_117>	Other atopic dermatitis and related conditions	ICD9CM:6918
<a_136><b_80><c_28>	Contact dermatitis and other eczema due to detergents	ICD9CM:6920
<a_136><b_80><c_72>	Contact dermatitis and other eczema due to drugs and medicines in contact with skin	ICD9CM:6923
<a_136><b_80><c_245>	Contact dermatitis and other eczema due to other chemical products	ICD9CM:6924
<a_136><b_71><c_252>	Contact dermatitis and other eczema due to plants [except food]	ICD9CM:6926
<a_136><b_6><c_37>	Dermatitis due to other radiation	ICD9CM:69282
<a_136><b_71><c_191>	Contact dermatitis and other eczema due to other specified agents	ICD9CM:69289
<a_136><b_232><c_71>	Contact dermatitis and other eczema, unspecified cause	ICD9CM:6929
<a_136><b_224><c_191>	Dermatitis due to drugs and medicines taken internally	ICD9CM:6930
<a_211><b_172><c_79>	Pemphigus	ICD9CM:6944
<a_211><b_172><c_210>	Pemphigoid	ICD9CM:6945
<a_211><b_87><c_206>	Other specified bullous dermatoses	ICD9CM:6948
<a_136><b_129><c_170>	Erythema multiforme	ICD9CM:6951
<a_136><b_255><c_1>	Stevens-Johnson syndrome	ICD9CM:69513
<a_136><b_255><c_41>	Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome	ICD9CM:69514
<a_136><b_255><c_185>	Toxic epidermal necrolysis	ICD9CM:69515
<a_136><b_245><c_91>	Erythema nodosum	ICD9CM:6952
<a_211><b_254><c_40>	Rosacea	ICD9CM:6953
<a_211><b_254><c_95>	Lupus erythematosus	ICD9CM:6954
<a_136><b_215><c_208>	Exfoliation due to erythematous condition involving less than 10 percent of body surface	ICD9CM:69550
<a_136><b_215><c_230>	Exfoliation due to erythematous condition involving 10-19 percent of body surface	ICD9CM:69551
<a_136><b_245><c_229>	Ritter's disease	ICD9CM:69581
<a_136><b_233><c_40>	Other specified erythematous conditions	ICD9CM:69589
<a_136><b_233><c_164>	Unspecified erythematous condition	ICD9CM:6959
<a_242><b_32><c_202>	Psoriatic arthropathy	ICD9CM:6960
<a_211><b_50><c_140>	Other psoriasis	ICD9CM:6961
<a_211><b_192><c_164>	Parapsoriasis	ICD9CM:6962
<a_211><b_9><c_13>	Other and unspecified pityriasis	ICD9CM:6965
<a_211><b_141><c_56>	Pruritus of genital organs	ICD9CM:6981
<a_211><b_113><c_81>	Prurigo	ICD9CM:6982
<a_211><b_95><c_56>	Lichenification and lichen simplex chronicus	ICD9CM:6983
<a_211><b_19><c_10>	Other specified pruritic conditions	ICD9CM:6988
<a_211><b_208><c_14>	Unspecified pruritic disorder	ICD9CM:6989
<a_126><b_252><c_89>	Corns and callosities	ICD9CM:700
<a_15><b_246><c_139>	Circumscribed scleroderma	ICD9CM:7010
<a_15><b_136><c_117>	Keratoderma, acquired	ICD9CM:7011
<a_15><b_217><c_189>	Acquired acanthosis nigricans	ICD9CM:7012
<a_15><b_33><c_14>	Striae atrophicae	ICD9CM:7013
<a_15><b_50><c_46>	Other abnormal granulation tissue	ICD9CM:7015
<a_15><b_9><c_121>	Other specified hypertrophic and atrophic conditions of skin	ICD9CM:7018
<a_126><b_215><c_104>	Unspecified hypertrophic and atrophic conditions of skin	ICD9CM:7019
<a_15><b_127><c_131>	Actinic keratosis	ICD9CM:7020
<a_15><b_252><c_168>	Other seborrheic keratosis	ICD9CM:70219
<a_126><b_6><c_93>	Ingrowing nail	ICD9CM:7030
<a_126><b_241><c_217>	Other specified diseases of nail	ICD9CM:7038
<a_126><b_13><c_194>	Alopecia, unspecified	ICD9CM:70400
<a_126><b_209><c_129>	Other alopecia	ICD9CM:70409
<a_15><b_251><c_141>	Hirsutism	ICD9CM:7041
<a_126><b_4><c_223>	Other specified diseases of hair and hair follicles	ICD9CM:7048
<a_211><b_215><c_239>	Prickly heat	ICD9CM:7051
<a_168><b_254><c_5>	Hidradenitis	ICD9CM:70583
<a_15><b_89><c_48>	Other acne	ICD9CM:7061
<a_168><b_255><c_110>	Sebaceous cyst	ICD9CM:7062
<a_15><b_163><c_172>	Other specified diseases of sebaceous glands	ICD9CM:7068
<a_192><b_219><c_201>	Pressure ulcer	ICD9CM:7070
<a_192><b_219><c_195>	Pressure ulcer, unspecified site	ICD9CM:70700
<a_192><b_142><c_120>	Pressure ulcer, elbow	ICD9CM:70701
<a_192><b_156><c_163>	Pressure ulcer, upper back	ICD9CM:70702
<a_192><b_156><c_86>	Pressure ulcer, lower back	ICD9CM:70703
<a_192><b_184><c_235>	Pressure ulcer, hip	ICD9CM:70704
<a_192><b_156><c_99>	Pressure ulcer, buttock	ICD9CM:70705
<a_192><b_161><c_134>	Pressure ulcer, ankle	ICD9CM:70706
<a_192><b_236><c_177>	Pressure ulcer, heel	ICD9CM:70707
<a_192><b_219><c_159>	Pressure ulcer, other site	ICD9CM:70709
<a_192><b_78><c_171>	Ulcer of lower limb, unspecified	ICD9CM:70710
<a_192><b_162><c_1>	Ulcer of thigh	ICD9CM:70711
<a_192><b_162><c_116>	Ulcer of calf	ICD9CM:70712
<a_192><b_162><c_13>	Ulcer of ankle	ICD9CM:70713
<a_192><b_162><c_65>	Ulcer of heel and midfoot	ICD9CM:70714
<a_192><b_162><c_17>	Ulcer of other part of foot	ICD9CM:70715
<a_192><b_162><c_141>	Ulcer of other part of lower limb	ICD9CM:70719
<a_192><b_200><c_226>	Pressure ulcer, unspecified stage	ICD9CM:70720
<a_192><b_200><c_42>	Pressure ulcer, stage I	ICD9CM:70721
<a_192><b_200><c_251>	Pressure ulcer, stage II	ICD9CM:70722
<a_192><b_200><c_195>	Pressure ulcer, stage III	ICD9CM:70723
<a_192><b_200><c_65>	Pressure ulcer, stage IV	ICD9CM:70724
<a_192><b_200><c_230>	Pressure ulcer, unstageable	ICD9CM:70725
<a_192><b_243><c_18>	Chronic ulcer of other specified sites	ICD9CM:7078
<a_136><b_69><c_195>	Allergic urticaria	ICD9CM:7080
<a_136><b_69><c_78>	Dermatographic urticaria	ICD9CM:7083
<a_136><b_96><c_1>	Other specified urticaria	ICD9CM:7088
<a_136><b_96><c_17>	Urticaria, unspecified	ICD9CM:7089
<a_146><b_44><c_128>	Vitiligo	ICD9CM:70901
<a_146><b_117><c_5>	Other dyschromia	ICD9CM:70909
<a_15><b_246><c_121>	Scar conditions and fibrosis of skin	ICD9CM:7092
<a_126><b_254><c_26>	Degenerative skin disorders	ICD9CM:7093
<a_15><b_214><c_79>	Foreign body granuloma of skin and subcutaneous tissue	ICD9CM:7094
<a_126><b_95><c_21>	Other specified disorders of skin	ICD9CM:7098
<a_126><b_245><c_121>	Unspecified disorder of skin and subcutaneous tissue	ICD9CM:7099
<a_241><b_157><c_42>	Systemic lupus erythematosus	ICD9CM:7100
<a_241><b_164><c_148>	Systemic sclerosis	ICD9CM:7101
<a_241><b_221><c_104>	Sicca syndrome	ICD9CM:7102
<a_241><b_53><c_167>	Dermatomyositis	ICD9CM:7103
<a_241><b_53><c_170>	Polymyositis	ICD9CM:7104
<a_241><b_195><c_206>	Eosinophilia myalgia syndrome	ICD9CM:7105
<a_241><b_83><c_67>	Other specified diffuse diseases of connective tissue	ICD9CM:7108
<a_241><b_246><c_152>	Unspecified diffuse connective tissue disease	ICD9CM:7109
<a_232><b_35><c_149>	Pyogenic arthritis, shoulder region	ICD9CM:71101
<a_232><b_97><c_154>	Pyogenic arthritis, upper arm	ICD9CM:71102
<a_232><b_65><c_127>	Pyogenic arthritis, forearm	ICD9CM:71103
<a_232><b_168><c_197>	Pyogenic arthritis, pelvic region and thigh	ICD9CM:71105
<a_232><b_194><c_52>	Pyogenic arthritis, lower leg	ICD9CM:71106
<a_232><b_71><c_249>	Pyogenic arthritis, ankle and foot	ICD9CM:71107
<a_232><b_71><c_155>	Pyogenic arthritis, multiple sites	ICD9CM:71109
<a_56><b_35><c_249>	Chondrocalcinosis, due to dicalcium phosphate crystals, forearm	ICD9CM:71213
<a_56><b_137><c_163>	Chondrocalcinosis, unspecified, site unspecified	ICD9CM:71230
<a_56><b_137><c_202>	Chondrocalcinosis, unspecified, forearm	ICD9CM:71233
<a_200><b_82><c_65>	Chondrocalcinosis, unspecified, pelvic region and thigh	ICD9CM:71235
<a_56><b_216><c_178>	Chondrocalcinosis, unspecified, lower leg	ICD9CM:71236
<a_56><b_137><c_3>	Chondrocalcinosis, unspecified, other specified sites	ICD9CM:71238
<a_56><b_137><c_16>	Chondrocalcinosis, unspecified, multiple sites	ICD9CM:71239
<a_242><b_245><c_114>	Arthropathy associated with gastrointestinal conditions other than infections	ICD9CM:7131
<a_242><b_245><c_41>	Arthropathy associated with neurological disorders	ICD9CM:7135
<a_242><b_45><c_167>	Arthropathy associated with other conditions classifiable elsewhere	ICD9CM:7138
<a_241><b_62><c_63>	Rheumatoid arthritis	ICD9CM:7140
<a_241><b_62><c_19>	Other rheumatoid arthritis with visceral or systemic involvement	ICD9CM:7142
<a_241><b_62><c_249>	Polyarticular juvenile rheumatoid arthritis, chronic or unspecified	ICD9CM:71430
<a_241><b_62><c_175>	Rheumatoid lung	ICD9CM:71481
<a_242><b_82><c_175>	Other specified inflammatory polyarthropathies	ICD9CM:71489
<a_242><b_82><c_150>	Unspecified inflammatory polyarthropathy	ICD9CM:7149
<a_200><b_157><c_157>	Osteoarthrosis, generalized, multiple sites	ICD9CM:71509
<a_200><b_45><c_151>	Osteoarthrosis, localized, primary, lower leg	ICD9CM:71516
<a_200><b_97><c_125>	Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified	ICD9CM:71530
<a_200><b_141><c_148>	Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region	ICD9CM:71531
<a_200><b_157><c_88>	Osteoarthrosis, localized, not specified whether primary or secondary, hand	ICD9CM:71534
<a_200><b_83><c_222>	Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh	ICD9CM:71535
<a_200><b_191><c_202>	Osteoarthrosis, localized, not specified whether primary or secondary, lower leg	ICD9CM:71536
<a_200><b_190><c_3>	Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, site unspecified	ICD9CM:71580
<a_200><b_190><c_105>	Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, multiple sites	ICD9CM:71589
<a_200><b_190><c_183>	Osteoarthrosis, unspecified whether generalized or localized, site unspecified	ICD9CM:71590
<a_200><b_157><c_1>	Osteoarthrosis, unspecified whether generalized or localized, shoulder region	ICD9CM:71591
<a_200><b_157><c_16>	Osteoarthrosis, unspecified whether generalized or localized, hand	ICD9CM:71594
<a_200><b_246><c_102>	Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh	ICD9CM:71595
<a_200><b_215><c_87>	Osteoarthrosis, unspecified whether generalized or localized, lower leg	ICD9CM:71596
<a_200><b_217><c_215>	Osteoarthrosis, unspecified whether generalized or localized, ankle and foot	ICD9CM:71597
<a_200><b_157><c_206>	Osteoarthrosis, unspecified whether generalized or localized, other specified sites	ICD9CM:71598
<a_218><b_17><c_245>	Traumatic arthropathy, pelvic region and thigh	ICD9CM:71615
<a_218><b_100><c_215>	Traumatic arthropathy, lower leg	ICD9CM:71616
<a_56><b_32><c_93>	Other specified arthropathy, site unspecified	ICD9CM:71680
<a_56><b_130><c_28>	Arthropathy, unspecified, site unspecified	ICD9CM:71690
<a_56><b_82><c_65>	Arthropathy, unspecified, shoulder region	ICD9CM:71691
<a_56><b_54><c_170>	Arthropathy, unspecified, forearm	ICD9CM:71693
<a_56><b_59><c_170>	Arthropathy, unspecified, hand	ICD9CM:71694
<a_56><b_151><c_26>	Arthropathy, unspecified, pelvic region and thigh	ICD9CM:71695
<a_56><b_191><c_242>	Arthropathy, unspecified, lower leg	ICD9CM:71696
<a_56><b_215><c_112>	Arthropathy, unspecified, ankle and foot	ICD9CM:71697
<a_56><b_173><c_252>	Arthropathy, unspecified, multiple sites	ICD9CM:71699
<a_245><b_53><c_202>	Loose body in knee	ICD9CM:7176
<a_218><b_120><c_100>	Old disruption of posterior cruciate ligament	ICD9CM:71784
<a_218><b_184><c_255>	Recurrent dislocation of joint, shoulder region	ICD9CM:71831
<a_218><b_42><c_181>	Recurrent dislocation of joint, pelvic region and thigh	ICD9CM:71835
<a_99><b_145><c_178>	Contracture of joint, upper arm	ICD9CM:71842
<a_143><b_82><c_1>	Contracture of joint, hand	ICD9CM:71844
<a_143><b_82><c_111>	Contracture of joint, pelvic region and thigh	ICD9CM:71845
<a_143><b_182><c_3>	Contracture of joint, ankle and foot	ICD9CM:71847
<a_143><b_82><c_17>	Contracture of joint, multiple sites	ICD9CM:71849
<a_245><b_16><c_174>	Ankylosis of joint, lower leg	ICD9CM:71856
<a_245><b_245><c_104>	Unspecified intrapelvic protrusion of acetabulum, pelvic region and thigh	ICD9CM:71865
<a_245><b_126><c_239>	Other joint derangement, not elsewhere classified, other specified sites	ICD9CM:71888
<a_245><b_7><c_38>	Effusion of joint, shoulder region	ICD9CM:71901
<a_245><b_214><c_38>	Effusion of joint, upper arm	ICD9CM:71902
<a_245><b_117><c_38>	Effusion of joint, forearm	ICD9CM:71903
<a_245><b_116><c_19>	Effusion of joint, pelvic region and thigh	ICD9CM:71905
<a_245><b_191><c_179>	Effusion of joint, lower leg	ICD9CM:71906
<a_245><b_251><c_174>	Effusion of joint, ankle and foot	ICD9CM:71907
<a_245><b_7><c_111>	Hemarthrosis, shoulder region	ICD9CM:71911
<a_245><b_191><c_242>	Hemarthrosis, lower leg	ICD9CM:71916
<a_245><b_71><c_239>	Pain in joint, site unspecified	ICD9CM:71940
<a_245><b_6><c_107>	Pain in joint, shoulder region	ICD9CM:71941
<a_245><b_117><c_48>	Pain in joint, upper arm	ICD9CM:71942
<a_245><b_6><c_148>	Pain in joint, forearm	ICD9CM:71943
<a_245><b_168><c_242>	Pain in joint, pelvic region and thigh	ICD9CM:71945
<a_245><b_216><c_222>	Pain in joint, lower leg	ICD9CM:71946
<a_245><b_222><c_4>	Pain in joint, ankle and foot	ICD9CM:71947
<a_245><b_71><c_151>	Pain in joint, multiple sites	ICD9CM:71949
<a_245><b_97><c_110>	Difficulty in walking	ICD9CM:7197
<a_245><b_35><c_188>	Unspecified disorder of joint, site unspecified	ICD9CM:71990
<a_222><b_62><c_150>	Ankylosing spondylitis	ICD9CM:7200
<a_222><b_188><c_157>	Sacroiliitis, not elsewhere classified	ICD9CM:7202
<a_222><b_117><c_113>	Unspecified inflammatory spondylopathy	ICD9CM:7209
<a_50><b_32><c_79>	Cervical spondylosis without myelopathy	ICD9CM:7210
<a_50><b_16><c_170>	Cervical spondylosis with myelopathy	ICD9CM:7211
<a_50><b_173><c_171>	Thoracic spondylosis without myelopathy	ICD9CM:7212
<a_50><b_112><c_171>	Lumbosacral spondylosis without myelopathy	ICD9CM:7213
<a_50><b_37><c_77>	Spondylosis with myelopathy, lumbar region	ICD9CM:72142
<a_222><b_37><c_171>	Other allied disorders of spine	ICD9CM:7218
<a_50><b_70><c_74>	Spondylosis of unspecified site, without mention of myelopathy	ICD9CM:72190
<a_50><b_36><c_95>	Displacement of cervical intervertebral disc without myelopathy	ICD9CM:7220
<a_50><b_74><c_242>	Displacement of lumbar intervertebral disc without myelopathy	ICD9CM:72210
<a_50><b_41><c_149>	Displacement of thoracic intervertebral disc without myelopathy	ICD9CM:72211
<a_50><b_154><c_133>	Displacement of intervertebral disc, site unspecified, without myelopathy	ICD9CM:7222
<a_50><b_6><c_46>	Schmorl's nodes, unspecified region	ICD9CM:72230
<a_50><b_126><c_217>	Degeneration of cervical intervertebral disc	ICD9CM:7224
<a_50><b_137><c_67>	Degeneration of thoracic or thoracolumbar intervertebral disc	ICD9CM:72251
<a_50><b_137><c_149>	Degeneration of lumbar or lumbosacral intervertebral disc	ICD9CM:72252
<a_50><b_71><c_217>	Degeneration of intervertebral disc, site unspecified	ICD9CM:7226
<a_50><b_86><c_238>	Intervertebral disc disorder with myelopathy, cervical region	ICD9CM:72271
<a_50><b_217><c_79>	Intervertebral disc disorder with myelopathy, thoracic region	ICD9CM:72272
<a_50><b_83><c_202>	Intervertebral disc disorder with myelopathy, lumbar region	ICD9CM:72273
<a_50><b_112><c_41>	Postlaminectomy syndrome, lumbar region	ICD9CM:72283
<a_222><b_97><c_161>	Other and unspecified disc disorder, unspecified region	ICD9CM:72290
<a_222><b_86><c_217>	Other and unspecified disc disorder, cervical region	ICD9CM:72291
<a_222><b_176><c_217>	Other and unspecified disc disorder, thoracic region	ICD9CM:72292
<a_222><b_83><c_110>	Other and unspecified disc disorder, lumbar region	ICD9CM:72293
<a_50><b_82><c_151>	Spinal stenosis in cervical region	ICD9CM:7230
<a_222><b_195><c_14>	Cervicalgia	ICD9CM:7231
<a_184><b_116><c_77>	Brachial neuritis or radiculitis NOS	ICD9CM:7234
<a_184><b_194><c_178>	Torticollis, unspecified	ICD9CM:7235
<a_222><b_195><c_48>	Other syndromes affecting cervical region	ICD9CM:7238
<a_124><b_224><c_8>	Spinal stenosis, unspecified region	ICD9CM:72400
<a_50><b_66><c_242>	Spinal stenosis, thoracic region	ICD9CM:72401
<a_124><b_43><c_82>	Spinal stenosis, lumbar region, without neurogenic claudication	ICD9CM:72402
<a_124><b_43><c_217>	Spinal stenosis, lumbar region, with neurogenic claudication	ICD9CM:72403
<a_124><b_224><c_1>	Spinal stenosis, other region	ICD9CM:72409
<a_222><b_50><c_68>	Lumbago	ICD9CM:7242
<a_222><b_192><c_140>	Sciatica	ICD9CM:7243
